# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.798799847599696,1.6422191177715697,-0.23382973038816096,0,1.0,-0.7002553336481198,0.0,0.0,0.04602722128445733
 0.15438737030491856,1.810717478407587,1.642170480474135,-0.23382973038816096,0.15438737030491856,1.0,-0.7002553336481198,0.0071060216565499434,-7.513881806945401,0.33728183716241966
 0.21758953685440338,1.8224714523559402,1.6420250816222175,-0.7087233397838681,0.21758953685440338,1.0,-0.7239126160110527,0.02842296450300541,-10.089648795102393,0.7402008496789142
 0.26558258882046915,1.8340633917317763,1.6417836907763956,-1.1929563787265702,0.26558258882046915,1.0,-0.7482542342027472,0.06394746234697157,-12.3289697370427,1.2418223143076348
 0.30562571136588806,1.845494918822116,1.6414470774972492,-1.6866468247657322,0.30562571136588806,1.0,-0.7732832321210504,0.11367390545842793,-14.41322322117276,1.830666191746348
 0.34054225501831403,1.8567676559139794,1.6410160113453567,-2.1899067625399704,0.3405422550183141,1.0000000000000016,-0.7990006652617156,0.1775944414555597,-16.417135482384317,2.499835241937646
 0.371786128125986,1.8678832252943876,1.640491261881298,-2.702841660343045,0.37178612812598605,1.0,-0.8254053886550259,0.25569897654474594,-18.380291294053215,3.2447630730178796
 0.4002246299497585,1.8788432492503608,1.6398735986656514,-3.2255496078304473,0.4002246299497586,1.000000000000002,-0.8524938356398776,0.34797517711447457,-20.326619797174967,4.062236750283437
 0.4264252925677321,1.8896493500689195,1.6391637912589967,-3.758120515300052,0.4264252925677322,1.0,-0.8802597883009988,0.45440847168298437,-22.271820902393976,4.949898896411654
 0.4507840893915759,1.9003031500370848,1.6383626092219128,-4.300635275558504,0.45078408939157594,0.9999999999999977,-0.9086941410747335,0.5749820531992444,-24.22676460146538,5.905963806323283
 0.47359066811688644,1.910806271441877,1.6374708221149783,-4.853164889701391,0.4735906681168865,1.0,-0.9377846588357743,0.7096768816969912,-26.19924258785076,6.929041692207982
 0.4950647495575752,1.9211603365703167,1.6364891994987731,-5.415769558717259,0.4950647495575752,0.9999999999999974,-0.9675157317669593,0.8584716873013931,-28.194948917116655,8.018022719457772
 0.5153778980712483,1.9313669677094243,1.635418510933876,-5.988497743406078,0.5153778980712483,1.0,-0.9978681287287668,1.0213429735877444,-30.218063306280253,9.171996442697088
 0.5346672696720192,1.9414277871462207,1.634259525980866,-6.571385195576536,0.5346672696720192,1.0,-1.0288187523526877,1.1982650212918766,-32.27161403013238,10.390193355676422
 0.5530446823479176,1.9513444171677259,1.6330130142003227,-7.164453964325592,0.5530446823479176,1.0,-1.06034039827484,1.3892098923715201,-34.357711300566706,11.671940868510712
 0.5706028197952541,1.961118480060961,1.6316797451528244,-7.767711381716848,0.5706028197952541,1.0,-1.092401522158188,1.594147434418015,-36.47770095935804,13.016629045440062
 0.5874196047121178,1.9707515981129464,1.630260488398951,-8.381149033012047,0.5874196047121178,1.0,-1.1249660184234134,1.8130452854177825,-38.63226731032754,14.423683156799559
 0.6035613620506411,1.980245393610703,1.6287560134992813,-9.00474171737232,0.6035613620506411,1.0,-1.1579930142505364,2.0458688788625867,-40.8215025493879,15.892541125639193
 0.619085158301667,1.9896014888412508,1.6271670900143942,-9.63844640560975,0.619085158301667,1.0,-1.1914366838466857,2.2925814492080585,-43.044953828642946,17.422634586715734
 0.6340405651417993,1.9988215060916104,1.6254944875048691,-10.282201202531816,0.6340405651417992,0.9999999999999926,-1.2252460874699829,2.5531440376793526,-45.301655176766076,19.0133726851441
 0.648471011822005,2.007907067648803,1.6237389755312852,-10.935924322085201,0.6484710118220048,1.0,-1.2593650401477428,2.827515498423203,-47.59014919130895,20.66412801314736
 0.6624148378764517,2.0168597957998484,1.6219013236542215,-11.599513084313985,0.6624148378764516,1.0,-1.2937320154155914,3.1156525050053507,-49.90850196311758,22.374224267823138
 0.6759061235913729,2.025681312831768,1.6199823014342571,-12.27284294390211,0.6759061235913728,1.0,-1.3282800895526368,3.4175095572522762,-52.254313754079476,24.142925341395436
 0.6889753530539224,2.034373241031582,1.617982678431971,-12.955766560762232,0.6889753530539223,1.0,-1.362936930932948,3.7330389884361748,-54.62472732280763,25.96942564671194
 0.7016499492827241,2.04293720268631,1.6159032242079425,-13.648112923687206,0.701649949282724,1.0,-1.3976248406930776,4.062190972802134,-57.016435382263715,27.852841546825804
 0.7139547103627693,2.0513748200829744,1.6137447083227507,-14.349686538701796,0.7139547103627691,1.0,-1.4322608487405089,4.404913533436182,-59.4256883616453,29.792203805780826
 0.725912168070806,2.059687715508595,1.6115079003369748,-15.060266694057145,0.7259121680708059,1.0,-1.4667568703624594,4.761152550473019,-61.848303438450685,31.786451013225168
 0.7375428851651858,2.0678775112501917,1.6091935698111937,-15.779606814117122,0.7375428851651857,1.0,-1.5010199270089783,5.130851769642203,-64.27967563805676,33.834423961517196
 0.7488657036634367,2.0759458295947857,1.6068024863059867,-16.507433914493276,0.7488657036634366,1.0,-1.5349524348912953,5.513952811151333,-66.71479166050734,35.93486097271974
 0.7598979536018616,2.0838942928293975,1.6043354193819328,-17.24344817068194,0.7598979536018615,1.0,-1.5684525638476379,5.910395178904928,-69.14824697656313,38.08639418579826
 0.7706556296673273,2.0917245232410475,1.6017931385996114,-17.987322612150617,0.7706556296673271,1.0,-1.6014146678356427,6.320116270057379,-71.57426663129772,40.28754682260017
